T,TM,Tm,H,PP,VV,V,VM,PM2.5
18.8,27.0,12.2,57.3,0.0,3.9,6.5,15.0,0.0
23.9,32.6,16.0,44.3,0.0,4.3,6.3,14.6,102.075
27.7,35.7,19.4,39.5,5.59,4.3,6.7,15.7,106.01
31.2,39.3,23.9,43.9,22.61,4.2,9.0,17.9,102.935
35.6,44.6,27.6,38.6,7.11,4.6,10.4,18.6,65.11
32.7,38.9,27.9,60.2,134.87,4.1,11.9,23.7,44.165
30.6,35.1,27.0,69.4,312.16,4.1,14.3,22.9,48.1
29.9,34.4,26.2,72.4,19.81,4.3,9.6,16.9,38.64
30.2,35.8,25.3,66.9,103.63,4.4,8.5,16.4,43.445
29.8,38.0,22.4,51.6,0.0,4.3,4.6,12.0,98.79
26.0,34.6,18.0,46.0,0.0,4.2,5.0,12.6,0.0
20.2,29.9,11.9,42.8,0.0,4.3,5.9,14.3,0.0
20.7,29.9,12.1,50.4,0.0,4.1,4.5,14.9,0.0
23.3,32.1,14.5,37.8,0.0,4.2,6.6,15.7,0.0
29.2,37.4,20.9,32.2,0.0,4.4,6.7,14.6,0.0
32.2,39.9,24.8,34.8,0.0,4.6,8.8,16.5,0.0
35.8,43.8,28.7,40.5,0.0,4.6,12.9,21.6,0.0
34.4,40.6,28.8,50.9,0.0,4.6,13.3,22.0,0.0
29.9,33.6,26.4,74.4,0.76,4.2,10.3,18.5,36.87
28.4,31.3,25.3,81.8,0.0,3.8,9.7,17.6,43.9
29.5,33.5,24.8,70.5,12.45,4.6,7.5,15.4,36.215
27.8,33.3,22.0,65.2,0.0,4.0,2.6,10.2,85.36
23.9,33.0,14.9,49.1,0.0,4.0,2.1,9.1,0.0
22.3,30.9,13.7,49.8,0.0,4.1,2.9,11.0,0.0
20.7,28.3,13.4,50.9,0.0,4.0,4.8,15.7,0.0
24.4,32.2,15.8,39.1,0.0,4.5,6.4,15.1,0.0
28.6,36.3,19.7,28.7,0.0,4.6,6.4,15.3,0.0
32.2,39.8,23.4,34.2,0.0,4.6,10.0,19.2,0.0
35.2,42.2,27.4,37.9,0.0,4.6,11.4,20.8,0.0
33.2,38.8,27.5,58.4,28.96,4.5,12.0,22.9,0.0
28.2,31.2,24.8,84.6,0.0,3.5,9.9,20.3,0.0
29.1,32.7,25.3,77.7,2.28,3.9,10.0,18.7,0.0
29.7,33.9,24.8,73.0,0.0,4.1,5.4,12.0,0.0
29.5,36.7,21.4,49.7,0.0,4.4,3.8,11.9,0.0
24.5,32.2,16.1,47.9,0.0,4.1,4.2,11.8,96.58
21.7,27.7,14.7,51.4,0.0,3.8,7.7,15.1,72.04
21.3,28.9,12.5,46.9,0.0,4.1,4.9,12.6,89.06
24.7,32.9,15.3,40.8,0.0,4.1,4.6,12.7,90.535
29.6,38.3,19.5,28.4,0.0,4.5,5.6,14.9,100.33
33.2,41.8,23.4,28.1,0.0,4.5,6.8,16.3,80.83500000000002
36.5,45.0,27.3,36.5,0.0,4.4,10.6,19.9,52.82
35.1,41.6,28.2,52.4,6.36,4.3,13.9,22.8,53.97
29.8,33.3,25.8,77.3,81.53,3.5,11.5,19.7,43.18
29.1,32.7,24.8,76.7,213.62,3.9,11.8,19.2,41.21
29.2,33.9,23.8,68.9,29.71,4.2,7.4,14.0,22.22
30.5,38.8,21.6,45.8,0.0,4.2,3.0,10.2,96.65
25.8,34.6,17.2,42.9,0.0,4.2,4.4,11.8,91.395
19.6,28.0,12.0,42.4,0.0,4.1,6.4,13.9,91.37
18.6,27.4,10.6,41.7,0.0,4.0,6.2,15.6,83.1
21.6,29.5,13.5,39.8,0.0,4.2,7.2,15.9,54.475
27.2,35.2,18.4,30.3,0.0,4.3,6.6,15.6,62.44
33.1,41.2,24.1,28.7,4.06,4.3,7.9,16.4,88.47
34.5,42.0,27.2,37.9,0.0,4.4,11.1,19.8,46.04
33.2,39.5,27.5,58.5,110.48,4.0,11.6,21.1,41.23
31.4,36.4,27.0,68.0,91.67,3.8,13.0,22.0,43.48
28.4,31.7,25.6,84.7,329.95,3.4,10.0,16.5,44.1
28.3,32.3,25.2,88.0,322.57,3.3,6.6,16.4,39.76000000000001
28.1,34.1,22.3,65.5,47.49,4.1,5.7,13.3,75.12
25.8,32.0,20.5,65.7,2.28,3.6,4.2,11.5,58.815
20.4,27.2,14.6,55.2,0.0,3.7,8.3,16.1,62.39
18.5,25.7,11.8,55.4,0.0,3.7,7.5,16.0,55.99
22.8,30.9,14.9,39.6,0.0,4.1,7.2,16.1,69.85
26.3,33.8,18.6,38.8,12.95,4.2,7.7,17.4,41.72
32.7,40.7,24.5,30.1,0.0,4.6,7.2,16.4,30.71
35.9,43.5,28.0,34.1,0.0,4.7,11.1,19.8,25.6
31.7,37.3,26.4,66.8,217.19,4.2,10.9,20.5,23.86
30.4,35.2,26.4,77.6,210.57,3.9,10.0,20.1,37.63
28.2,31.5,25.5,90.7,430.0,3.0,9.9,18.9,0.0
31.0,35.9,26.2,79.9,128.52,3.9,6.6,14.6,0.0
29.7,36.8,23.0,53.1,0.76,4.3,5.8,14.1,0.0
23.6,32.3,15.7,47.0,0.0,4.0,6.1,14.4,0.0
20.8,28.9,14.0,53.0,1.52,4.1,7.0,15.5,0.0
